"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+03:00","Lopetusaika UTC+03:00","Tuulivoimatuotanto - reaaliaikatieto"
"2022-01-01 02:34:00","2022-01-01 02:34:00","2022-01-01 05:34:00","2022-01-01 05:34:00","1740.9"
"2022-01-01 02:37:00","2022-01-01 02:37:00","2022-01-01 05:37:00","2022-01-01 05:37:00","1752.4"
"2022-01-01 02:40:00","2022-01-01 02:40:00","2022-01-01 05:40:00","2022-01-01 05:40:00","1763.5"
"2022-01-01 02:43:00","2022-01-01 02:43:00","2022-01-01 05:43:00","2022-01-01 05:43:00","1759.5"
"2022-01-01 02:46:00","2022-01-01 02:46:00","2022-01-01 05:46:00","2022-01-01 05:46:00","1791.0"
"2022-01-01 02:49:00","2022-01-01 02:49:00","2022-01-01 05:49:00","2022-01-01 05:49:00","1780.0"
"2022-01-01 02:52:00","2022-01-01 02:52:00","2022-01-01 05:52:00","2022-01-01 05:52:00","1782.5"
"2022-01-01 02:55:00","2022-01-01 02:55:00","2022-01-01 05:55:00","2022-01-01 05:55:00","1788.0"
"2022-01-01 02:58:00","2022-01-01 02:58:00","2022-01-01 05:58:00","2022-01-01 05:58:00","1784.0"
"2022-01-01 03:01:00","2022-01-01 03:01:00","2022-01-01 06:01:00","2022-01-01 06:01:00","1803.0"
"2022-01-01 03:04:00","2022-01-01 03:04:00","2022-01-01 06:04:00","2022-01-01 06:04:00","1795.5"
"2022-01-01 03:07:00","2022-01-01 03:07:00","2022-01-01 06:07:00","2022-01-01 06:07:00","1800.0"
"2022-01-01 03:10:00","2022-01-01 03:10:00","2022-01-01 06:10:00","2022-01-01 06:10:00","1788.5"
"2022-01-01 03:13:00","2022-01-01 03:13:00","2022-01-01 06:13:00","2022-01-01 06:13:00","1801.9"
"2022-01-01 03:16:00","2022-01-01 03:16:00","2022-01-01 06:16:00","2022-01-01 06:16:00","1799.5"
"2022-01-01 03:19:00","2022-01-01 03:19:00","2022-01-01 06:19:00","2022-01-01 06:19:00","1792.0"
"2022-01-01 03:22:00","2022-01-01 03:22:00","2022-01-01 06:22:00","2022-01-01 06:22:00","1790.0"
"2022-01-01 03:25:00","2022-01-01 03:25:00","2022-01-01 06:25:00","2022-01-01 06:25:00","1795.0"
"2022-01-01 03:28:00","2022-01-01 03:28:00","2022-01-01 06:28:00","2022-01-01 06:28:00","1788.5"
"2022-01-01 03:31:00","2022-01-01 03:31:00","2022-01-01 06:31:00","2022-01-01 06:31:00","1796.1"
"2022-01-01 03:34:00","2022-01-01 03:34:00","2022-01-01 06:34:00","2022-01-01 06:34:00","1805.5"
"2022-01-01 03:37:00","2022-01-01 03:37:00","2022-01-01 06:37:00","2022-01-01 06:37:00","1797.5"
"2022-01-01 03:40:00","2022-01-01 03:40:00","2022-01-01 06:40:00","2022-01-01 06:40:00","1805.5"
"2022-01-01 03:43:00","2022-01-01 03:43:00","2022-01-01 06:43:00","2022-01-01 06:43:00","1811.0"
"2022-01-01 03:46:00","2022-01-01 03:46:00","2022-01-01 06:46:00","2022-01-01 06:46:00","1822.0"
"2022-01-01 03:49:00","2022-01-01 03:49:00","2022-01-01 06:49:00","2022-01-01 06:49:00","1829.5"
"2022-01-01 03:52:00","2022-01-01 03:52:00","2022-01-01 06:52:00","2022-01-01 06:52:00","1842.0"
"2022-01-01 03:55:00","2022-01-01 03:55:00","2022-01-01 06:55:00","2022-01-01 06:55:00","1825.0"
"2022-01-01 03:58:00","2022-01-01 03:58:00","2022-01-01 06:58:00","2022-01-01 06:58:00","1835.5"
"2022-01-01 04:01:00","2022-01-01 04:01:00","2022-01-01 07:01:00","2022-01-01 07:01:00","1849.0"
"2022-01-01 04:04:00","2022-01-01 04:04:00","2022-01-01 07:04:00","2022-01-01 07:04:00","1844.0"
"2022-01-01 04:07:00","2022-01-01 04:07:00","2022-01-01 07:07:00","2022-01-01 07:07:00","1857.0"
"2022-01-01 04:10:00","2022-01-01 04:10:00","2022-01-01 07:10:00","2022-01-01 07:10:00","1867.0"
"2022-01-01 04:13:00","2022-01-01 04:13:00","2022-01-01 07:13:00","2022-01-01 07:13:00","1876.0"
"2022-01-01 04:16:00","2022-01-01 04:16:00","2022-01-01 07:16:00","2022-01-01 07:16:00","1881.0"
"2022-01-01 04:19:00","2022-01-01 04:19:00","2022-01-01 07:19:00","2022-01-01 07:19:00","1883.0"
"2022-01-01 04:22:00","2022-01-01 04:22:00","2022-01-01 07:22:00","2022-01-01 07:22:00","1885.0"
"2022-01-01 04:25:00","2022-01-01 04:25:00","2022-01-01 07:25:00","2022-01-01 07:25:00","1884.0"
"2022-01-01 04:28:00","2022-01-01 04:28:00","2022-01-01 07:28:00","2022-01-01 07:28:00","1880.0"
"2022-01-01 04:31:00","2022-01-01 04:31:00","2022-01-01 07:31:00","2022-01-01 07:31:00","1886.5"
"2022-01-01 04:34:00","2022-01-01 04:34:00","2022-01-01 07:34:00","2022-01-01 07:34:00","1876.0"
"2022-01-01 04:37:00","2022-01-01 04:37:00","2022-01-01 07:37:00","2022-01-01 07:37:00","1885.5"
"2022-01-01 04:40:00","2022-01-01 04:40:00","2022-01-01 07:40:00","2022-01-01 07:40:00","1901.5"
"2022-01-01 04:43:00","2022-01-01 04:43:00","2022-01-01 07:43:00","2022-01-01 07:43:00","1917.5"
"2022-01-01 04:46:00","2022-01-01 04:46:00","2022-01-01 07:46:00","2022-01-01 07:46:00","1942.0"
"2022-01-01 04:49:00","2022-01-01 04:49:00","2022-01-01 07:49:00","2022-01-01 07:49:00","1959.0"
"2022-01-01 04:52:00","2022-01-01 04:52:00","2022-01-01 07:52:00","2022-01-01 07:52:00","1959.5"
"2022-01-01 04:55:00","2022-01-01 04:55:00","2022-01-01 07:55:00","2022-01-01 07:55:00","1960.0"
"2022-01-01 04:58:00","2022-01-01 04:58:00","2022-01-01 07:58:00","2022-01-01 07:58:00","1943.5"
"2022-01-01 05:01:00","2022-01-01 05:01:00","2022-01-01 08:01:00","2022-01-01 08:01:00","1969.0"
"2022-01-01 05:04:00","2022-01-01 05:04:00","2022-01-01 08:04:00","2022-01-01 08:04:00","1973.0"
"2022-01-01 05:07:00","2022-01-01 05:07:00","2022-01-01 08:07:00","2022-01-01 08:07:00","1985.5"
"2022-01-01 05:10:00","2022-01-01 05:10:00","2022-01-01 08:10:00","2022-01-01 08:10:00","1993.0"
"2022-01-01 05:13:00","2022-01-01 05:13:00","2022-01-01 08:13:00","2022-01-01 08:13:00","2014.5"
"2022-01-01 05:16:00","2022-01-01 05:16:00","2022-01-01 08:16:00","2022-01-01 08:16:00","2006.0"
"2022-01-01 05:19:00","2022-01-01 05:19:00","2022-01-01 08:19:00","2022-01-01 08:19:00","2008.5"
"2022-01-01 05:22:00","2022-01-01 05:22:00","2022-01-01 08:22:00","2022-01-01 08:22:00","2008.5"
"2022-01-01 05:25:00","2022-01-01 05:25:00","2022-01-01 08:25:00","2022-01-01 08:25:00","2000.0"
"2022-01-01 05:28:00","2022-01-01 05:28:00","2022-01-01 08:28:00","2022-01-01 08:28:00","2006.5"
"2022-01-01 05:31:00","2022-01-01 05:31:00","2022-01-01 08:31:00","2022-01-01 08:31:00","2008.5"
"2022-01-01 05:34:00","2022-01-01 05:34:00","2022-01-01 08:34:00","2022-01-01 08:34:00","2008.0"
"2022-01-01 05:37:00","2022-01-01 05:37:00","2022-01-01 08:37:00","2022-01-01 08:37:00","2020.0"
"2022-01-01 05:40:00","2022-01-01 05:40:00","2022-01-01 08:40:00","2022-01-01 08:40:00","2027.0"
"2022-01-01 05:43:00","2022-01-01 05:43:00","2022-01-01 08:43:00","2022-01-01 08:43:00","2032.4"
"2022-01-01 05:46:00","2022-01-01 05:46:00","2022-01-01 08:46:00","2022-01-01 08:46:00","2036.0"
"2022-01-01 05:49:00","2022-01-01 05:49:00","2022-01-01 08:49:00","2022-01-01 08:49:00","2033.9"
"2022-01-01 05:52:00","2022-01-01 05:52:00","2022-01-01 08:52:00","2022-01-01 08:52:00","2045.5"
"2022-01-01 05:55:00","2022-01-01 05:55:00","2022-01-01 08:55:00","2022-01-01 08:55:00","2043.0"
"2022-01-01 05:58:00","2022-01-01 05:58:00","2022-01-01 08:58:00","2022-01-01 08:58:00","2033.0"
"2022-01-01 06:01:00","2022-01-01 06:01:00","2022-01-01 09:01:00","2022-01-01 09:01:00","2035.0"
"2022-01-01 06:04:00","2022-01-01 06:04:00","2022-01-01 09:04:00","2022-01-01 09:04:00","2027.5"
"2022-01-01 06:07:00","2022-01-01 06:07:00","2022-01-01 09:07:00","2022-01-01 09:07:00","2017.0"
"2022-01-01 06:10:00","2022-01-01 06:10:00","2022-01-01 09:10:00","2022-01-01 09:10:00","2008.0"
"2022-01-01 06:13:00","2022-01-01 06:13:00","2022-01-01 09:13:00","2022-01-01 09:13:00","1996.5"
"2022-01-01 06:16:00","2022-01-01 06:16:00","2022-01-01 09:16:00","2022-01-01 09:16:00","2004.4"
"2022-01-01 06:19:00","2022-01-01 06:19:00","2022-01-01 09:19:00","2022-01-01 09:19:00","1992.5"
"2022-01-01 06:22:00","2022-01-01 06:22:00","2022-01-01 09:22:00","2022-01-01 09:22:00","1976.0"
"2022-01-01 06:25:00","2022-01-01 06:25:00","2022-01-01 09:25:00","2022-01-01 09:25:00","1972.5"
"2022-01-01 06:28:00","2022-01-01 06:28:00","2022-01-01 09:28:00","2022-01-01 09:28:00","1969.5"
"2022-01-01 06:31:00","2022-01-01 06:31:00","2022-01-01 09:31:00","2022-01-01 09:31:00","1960.1"
"2022-01-01 06:34:00","2022-01-01 06:34:00","2022-01-01 09:34:00","2022-01-01 09:34:00","1954.0"
